Variable,tas
Experiment,rcp85
Zone,Q18
Code,CCCma-CanESM2_r1i1p1_SMHI-RCA4_v1
2025-04-01,16.68032938228536
2025-05-01,22.19265690322581
2025-06-01,21.201712731911698
2025-07-01,22.61784093548387
2025-08-01,24.447943994363982
2025-09-01,22.426728106755505
2025-10-01,22.622199870016942
2025-11-01,18.71103206666667
2025-12-01,16.626612919354837
2026-01-01,13.173658444478473
2026-02-01,15.989402009964481
2026-03-01,17.140797999389733
2026-04-01,16.12622543333333
2026-05-01,20.617954935483876
2026-06-01,21.876947233746975
2026-07-01,24.3796315483871
2026-08-01,24.24841077419355
2026-09-01,23.27928863333333
2026-10-01,22.53009032258065
2026-11-01,16.559385107596043
2026-12-01,15.207265610152678
2027-01-01,15.487274983870968
2027-02-01,15.236693089285716
2027-03-01,17.85259833935907
2027-04-01,16.932991471020898
2027-05-01,22.299537935483876
2027-06-01,22.24945421554235
2027-07-01,23.50690893548387
2027-08-01,25.53269116129032
2027-09-01,22.25434753333333
2027-10-01,21.64627227419355
2027-11-01,17.788343127358768
2027-12-01,16.092761008064517
2028-01-01,14.365190320163334
2028-02-01,15.63634880357143
2028-03-01,17.4271385483871
2028-04-01,16.951179816666667
2028-05-01,20.027704157737755
2028-06-01,22.3187462
2028-07-01,24.07558793548387
2028-08-01,24.130990451612902
2028-09-01,23.58362110694575
2028-10-01,20.966781274193547
2028-11-01,15.992629116666668
2028-12-01,15.825050008064517
2029-01-01,12.121928506451608
2029-02-01,14.73557104065312
2029-03-01,18.054269278388194
2029-04-01,16.5297162872524
2029-05-01,22.49359490322581
2029-06-01,22.549044299999995
2029-07-01,24.491096916675957
2029-08-01,25.8292194516129
2029-09-01,22.85229263333333
2029-10-01,20.622134580645167
2029-11-01,16.041434221440795
2029-12-01,17.543729503837636
2030-01-01,13.216115384521226
2030-02-01,14.78289648214286
2030-03-01,15.724680467741935
2030-04-01,16.73493214876703
2030-05-01,18.684056870967737
2030-06-01,20.21193663333333
2030-07-01,25.45872193548387
2030-08-01,24.817769464420333
2030-09-01,25.34347503333333
2030-10-01,20.58968325919025
2030-11-01,17.34163109166667
2030-12-01,15.307981354838708
2031-01-01,15.641079718799721
2031-02-01,16.267754982083293
2031-03-01,18.74448017192551
2031-04-01,17.529780303153274
2031-05-01,20.29214377812398
2031-06-01,22.7645432
2031-07-01,23.777068936184726
2031-08-01,25.77909816129032
2031-09-01,24.827973533333328
2031-10-01,21.858493322580653
2031-11-01,17.906267484890456
2031-12-01,17.780298419354835
2032-01-01,15.786745983870969
2032-02-01,15.292343089285716
2032-03-01,18.055564548387096
2032-04-01,18.309153735333513
2032-05-01,20.430576935483877
2032-06-01,22.36018748662655
2032-07-01,23.77948872531257
2032-08-01,24.316941774193552
2032-09-01,24.047196797685313
2032-10-01,22.222656274193547
2032-11-01,18.70611406666667
2032-12-01,16.805584008064518
2033-01-01,13.626672628963316
2033-02-01,13.989548138464254
2033-03-01,19.48000648387097
2033-04-01,17.64417943333333
2033-05-01,19.651738569008433
2033-06-01,20.227189633333328
2033-07-01,23.748013179677905
2033-08-01,25.056114451612903
2033-09-01,25.24454103333333
2033-10-01,22.831903274193547
2033-11-01,17.089198091737316
2033-12-01,14.946570687012933
2034-01-01,13.014432506451609
2034-02-01,13.98781648214286
2034-03-01,15.152325467741935
2034-04-01,17.647343816666666
2034-05-01,20.345703903225807
2034-06-01,23.547365299999996
2034-07-01,26.07624293548387
2034-08-01,24.02283416129032
2034-09-01,21.61481127422741
2034-10-01,21.222958580645166
2034-11-01,16.822503116666667
2034-12-01,17.294353419354835
2035-01-01,13.809244677419352
2035-02-01,15.001890089285716
2035-03-01,18.487806554702956
2035-04-01,18.976194833333334
2035-05-01,19.542028870967737
2035-06-01,22.359345409968846
2035-07-01,23.11250346476051
2035-08-01,24.28612677419355
2035-09-01,21.82144453333333
2035-10-01,22.22531032258065
2035-11-01,18.43914106666667
2035-12-01,15.119719854838708
2036-01-01,16.194832983870967
2036-02-01,15.685080330202869
2036-03-01,18.24115725872079
2036-04-01,17.08327443333333
2036-05-01,18.888615200140272
2036-06-01,20.64536563333333
2036-07-01,22.952036935483868
2036-08-01,23.780041777383683
2036-09-01,22.37764563333333
2036-10-01,22.100853385161592
2036-11-01,16.9612771144311
2036-12-01,15.91134248137853
2037-01-01,15.07056124129213
2037-02-01,14.43406843933888
2037-03-01,16.055139467741938
2037-04-01,17.278084280846183
2037-05-01,20.463374240575117
2037-06-01,22.024580885563235
2037-07-01,23.7241645483871
2037-08-01,24.1988144516129
2037-09-01,24.200637033333333
2037-10-01,21.695280274193546
2037-11-01,18.17647409166667
2037-12-01,15.464017414518992
2038-01-01,12.218276506451609
2038-02-01,13.59520348214286
2038-03-01,16.963310270417196
2038-04-01,17.612524833333335
2038-05-01,22.48219390322581
2038-06-01,22.1935492
2038-07-01,23.624144556058557
2038-08-01,23.479299774193553
2038-09-01,22.84233353333333
2038-10-01,19.798932580645165
2038-11-01,18.387242384254808
2038-12-01,14.758427700032394
2039-01-01,12.608909940003304
2039-02-01,15.27624180357143
2039-03-01,19.07061948387097
2039-04-01,17.726553816666666
2039-05-01,19.69066379168608
2039-06-01,22.501681405568526
2039-07-01,25.12576893548387
2039-08-01,25.061935161290318
2039-09-01,24.072253633333332
2039-10-01,21.036714144650325
2039-11-01,17.61994311666667
2039-12-01,14.617311354838709
2040-01-01,12.763389177419352
2040-02-01,15.65515180357143
2040-03-01,18.86702515230939
2040-04-01,19.15268243333333
2040-05-01,20.415380870967738
2040-06-01,22.270971299999996
2040-07-01,23.49611245714556
2040-08-01,25.2756134516129
2040-09-01,24.55279103333333
2040-10-01,22.19973885367995
2040-11-01,19.019344748912236
2040-12-01,16.96325331180151
2041-01-01,14.577044688839964
2041-02-01,15.799762089285716
2041-03-01,15.797887467741935
2041-04-01,19.042182483925362
2041-05-01,21.13982590322581
2041-06-01,22.381423862359995
2041-07-01,23.080582935483868
2041-08-01,25.576036103201595
2041-09-01,24.343661885806384
2041-10-01,21.52975432258065
2041-11-01,17.760275511395946
2041-12-01,15.388914583479176
2042-01-01,15.185389983870968
2042-02-01,16.899145226681973
2042-03-01,18.71215897306394
2042-04-01,16.825230816666668
2042-05-01,19.966909935483876
2042-06-01,21.02059263333333
2042-07-01,24.75314593548387
2042-08-01,26.665891161290318
2042-09-01,23.70995963333333
2042-10-01,21.505675580645168
2042-11-01,20.53640806666667
2042-12-01,17.356272419354838
2043-01-01,13.077944283959795
2043-02-01,13.97412598214286
2043-03-01,16.914812708678603
2043-04-01,18.387463001791357
2043-05-01,19.74272187096774
2043-06-01,23.141156513483566
2043-07-01,24.8934395483871
2043-08-01,23.645747774193552
2043-09-01,23.71888116766917
2043-10-01,21.728791570752414
2043-11-01,20.17710869315387
2043-12-01,16.195766008064517
2044-01-01,13.099490506451609
2044-02-01,15.290893251130756
2044-03-01,18.428072184428125
2044-04-01,17.579979490333347
2044-05-01,20.45809490322581
2044-06-01,22.214479776664362
2044-07-01,24.71930025810815
2044-08-01,24.89933702646291
2044-09-01,23.528002604945513
2044-10-01,22.85294432258065
2044-11-01,17.27094311666667
2044-12-01,15.566423937472305
2045-01-01,14.559640725151686
2045-02-01,13.920642156817975
2045-03-01,17.656416026234567
2045-04-01,18.347175816666667
2045-05-01,19.208144935483876
2045-06-01,23.55109714999633
2045-07-01,22.88018993548387
2045-08-01,24.7156459908145
2045-09-01,22.107089905269838
2045-10-01,22.210980531093593
2045-11-01,19.06196324100193
2045-12-01,16.455502419354836
2046-01-01,15.687098983870968
2046-02-01,14.016903082444205
2046-03-01,16.41658565214595
2046-04-01,18.343716833333335
2046-05-01,18.576831870967737
2046-06-01,23.092056299999996
2046-07-01,24.312502243364797
2046-08-01,25.25548716129032
2046-09-01,23.660681533333328
2046-10-01,20.387647686397727
2046-11-01,17.200423223069674
2046-12-01,15.561297354838707
2047-01-01,12.980496506451608
2047-02-01,15.583829089285716
2047-03-01,15.725646467741935
2047-04-01,18.446575236056518
2047-05-01,20.245809935483877
2047-06-01,23.107570199999998
2047-07-01,25.043114935886088
2047-08-01,24.92055877419355
2047-09-01,22.879013633333333
2047-10-01,20.236430580645166
2047-11-01,17.433009063804597
